X1	X2	cLine_ID	Aliases	RRID.CVCLE	MSI	Tissue	Subtissue	Histology	Subhistology	Gender	Age	Ethnicity	Grade_Stage	Source	COSMIC_ID	COSMIC_membership	ArrayID_CCLE	CCLE_membership	NCI60_membership	X	X.1	X.2	X.3	X.4	X.5	X.6	FID	sp	p	gender	id	cluster.infomap	cluster.walktrap	Q1	Q2	Q3	Q4	Q5	Q6	Q7
211	5.78911220096953	-3.79064328620542	Hs 571.T	HS571T	_0802	NA	Ovary	NA	Carcinoma	NA	Female	65	Caucasian	NA	NA	NA	NA	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B12_256048	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs571.T	1	9	0.397586	0.000783	1e-05	0.009528	0.016507	0.575576	1e-05
107	1.55461979674123	4.9980500105318	Hs 578T	Hs-578-T; HS578T	_0332	MSI-S	Breast	NA	Carcinoma	Ductal carcinoma	Female	74	Caucasian	NA	Primary	905957	Y	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F02_335310	Y	Y	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs578T	1	9	0.340149	1e-05	1e-05	0.017136	1e-05	0.63734	0.005345
212	1.07115198750363	8.83164562444714	Hs 600.T	HS600T	_0814	NA	Skin	NA	Malignant melanoma	NA	Male	NA	NA	NA	NA	NA	NA	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B04_490386	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs600.T	1	9	0.310176	0.019771	1e-05	0.017021	1e-05	0.653003	1e-05
213	-7.27904948204881	-38.0371465384188	Hs 604.T	HS604T	_0816	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Hodgkin lymphoma	Male	21	Caucasian	NA	NA	NA	NA	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D05_411026	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs604.T	15	14	0.097901	0.001482	0.040143	1e-05	0.020151	0.840304	1e-05
214	14.0617467518693	-7.23859305768789	Hs 606.T	HS606T	_0819	NA	Breast	NA	Carcinoma	NA	Female	44	Caucasian	NA	NA	NA	NA	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A11_437328	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs606.T	5	2	0.594985	0.018697	0.007613	1e-05	0.072701	0.289646	0.016348
215	3.22034263604516	12.1564803241011	Hs 611.T	HS611T	_0823	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Hodgkin lymphoma	Female	48	NA	NA	NA	NA	NA	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G01_437230	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs611.T	1	9	0.264384	1e-05	0.00053	0.005049	0.012397	0.71762	1e-05
216	-1.48473627671982	7.16662366859478	Hs 616.T	HS616T	_0825	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Hodgkin lymphoma	Male	16	Caucasian	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F11_464674	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs616.T	1	9	0.275549	0.004675	0.009614	1e-05	0.021918	0.688225	1e-05
217	-11.5623463381525	-9.02158238588426	Hs 618.T	HS618T	_0827	NA	Lung	NA	Carcinoma	Adenocarcinoma	Female	60	Caucasian	NA	NA	NA	NA	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D09_437422	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs618.T	9	5	0.337188	0.21606	0.014001	0.010718	0.016288	0.382039	0.023706
219	3.63934870051412	8.29845344642101	Hs 675.T	HS675T	_0836	NA	Large intestine	Colon	Carcinoma	NA	Male	NA	Caucasian	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H08_464646	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs675.T	1	9	0.251526	0.000155	1e-05	0.009726	0.032526	0.706046	1e-05
220	0.316210160676168	-0.611827570366667	Hs 683	Hs683; HS683	_0844	MSI-S	CNS	Brain	Glioma	NA	Male	76	Caucasian	NA	NA	1240150	Y	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D02_437280	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs683	1	9	0.305447	0.003306	1e-05	0.001581	0.007009	0.682636	1e-05
221	4.0666655703423	4.30793952039368	Hs 688(A).T	HS688AT	_0846	NA	Skin	NA	Malignant melanoma	NA	Male	69	Caucasian	NA	NA	NA	NA	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H12_490414	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs688(A).T	1	9	0.313454	1e-05	1e-05	0.001391	0.028576	0.656549	1e-05
222	-4.19990744177802	4.31552392977275	Hs 695.T	HS695T	_0851	NA	Skin	NA	Malignant melanoma	NA	Male	26	Caucasian	NA	NA	NA	NA	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B09_246650	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs695.T	1	9	0.255891	0.006229	0.006909	0.00947	0.009794	0.711697	1e-05
223	42.7795535358924	-0.317995055890649	Hs 698.T	HS698T	_0855	NA	Large intestine	Colon	Carcinoma	Adenocarcinoma	Male	70	American Indian	NA	NA	NA	NA	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B01_542936	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs698.T	3	7	0.035941	1e-05	1e-05	0.030247	0.9306	1e-05	0.003182
224	4.71835630918168	1.88692917228645	Hs 706.T	HS706T	_0863	NA	Bone	NA	Giant cell tumour	NA	Female	16	Caucasian	NA	NA	NA	NA	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_D10_592860	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs706.T	1	9	0.367094	0.000256	1e-05	0.025062	0.00073	0.579799	0.027049
225	3.41096989920728	4.08342792530182	Hs 729.T	HS729	_0871	NA	Soft tissue	NA	Rhabdomyosarcoma	NA	Male	74	Caucasian	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F10_464668	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs729.T	1	9	0.377548	1e-05	1e-05	0.024903	0.009609	0.575828	0.012092
226	1.6862292563741	7.08681725088218	Hs 737.T	HS737T	_0878	NA	Bone	NA	Other	Giant cell tumour	Female	10	Caucasian	NA	NA	NA	NA	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_A10_490440	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs737.T	1	9	0.307988	0.006075	1.5e-05	0.010284	1e-05	0.675618	1e-05
227	-24.9489503982211	0.411253953569798	Hs 739.T	HS739T	_0882	NA	Breast	NA	Carcinoma	NA	Female	NA	NA	NA	NA	NA	NA	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D01_437282	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs739.T	2	12	1e-05	0.001457	0.194215	0.799132	0.001739	1e-05	0.003437
228	-0.591235018958478	0.213975082576392	Hs 742.T	HS742T	_0888	NA	Breast	NA	Carcinoma	NA	Female	71	Caucasian	NA	NA	NA	NA	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E08_578426	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs742.T	1	9	0.25216	0.011389	0.007018	1e-05	1e-05	0.729403	1e-05
108	5.41133900653364	9.58060584238336	Hs 746.T	Hs746T; HS746T	_0333	MSI-S	Stomach	NA	Carcinoma	NA	Male	74	Caucasian	NA	NA	1240151	Y	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G06_437370	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs746.T	1	9	0.312347	0.001561	1e-05	0.029035	0.005763	0.651275	1e-05
229	3.79579947477392	2.50086860241307	Hs 751.T	HS751T	_0891	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Hodgkin lymphoma	Male	NA	NA	NA	NA	NA	NA	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D05_578412	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs751.T	1	9	0.3112	0.001242	1e-05	0.00592	1e-05	0.678365	0.003252
109	1.95719623881353	-3.06552619901905	Hs 766.T	Hs766T; HS766T	_0334	MSI-S	Pancreas	NA	Carcinoma	Ductal carcinoma	Male	64	Caucasian	NA	NA	1298141	Y	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A08_256016	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs766.T	1	9	0.326222	0.00917	1e-05	0.019581	0.015365	0.628543	0.001109
230	4.81154724169399	12.7800341898216	Hs 819.T	HS819T	_0928	NA	Bone	NA	Chondrosarcoma	NA	Male	60	Caucasian	NA	NA	NA	NA	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H01_578274	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs819.T	1	9	0.299323	1e-05	0.002223	0.011613	0.016345	0.670477	1e-05
231	-13.2393068752751	-13.8381963738416	Hs 821.T	HS821T	_0932	NA	Bone	NA	Giant cell tumour	NA	Female	31	Caucasian	NA	NA	NA	NA	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E04_542932	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs821.T	19	5	0.216182	0.465114	1e-05	0.052936	0.018848	0.22776	0.01915
232	-12.0143793218227	-8.9288015507252	Hs 822.T	HS822T	_0933	NA	Bone	NA	Ewings sarcoma	NA	Female	9	Caucasian	NA	NA	NA	NA	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A03_578306	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs822.T	9	5	0.303304	0.215852	1e-05	0.016622	0.020608	0.437734	0.005871
233	9.66539636505474	4.92504881168518	Hs 839.T	HS839T	_0941	NA	Skin	NA	Malignant melanoma	NA	Female	42	Caucasian	NA	NA	NA	NA	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D08_437512	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs839.T	1	9	0.310603	0.001768	1e-05	0.007887	1e-05	0.672476	0.007246
234	2.40971914704933	11.7649319796813	Hs 840.T	HS840T	_0942	NA	Upper aerodigestive tract	NA	Other	Papilloma	Male	17	Caucasian	NA	NA	NA	NA	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C11_437498	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs840.T	1	9	0.218013	0.003441	0.015592	1e-05	1e-05	0.762925	1e-05
235	-21.0709043786655	4.18842815646992	Hs 852.T	HS852T	_0950	NA	Skin	NA	Malignant melanoma	NA	Male	53	Asian	NA	NA	NA	NA	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G01_698590	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs852.T	2	12	0.013047	1e-05	0.165783	0.800331	0.001909	1e-05	0.01891
236	2.93589957217899	9.32080835537192	Hs 863.T	HS863T	_0959	NA	Bone	NA	Ewings sarcoma	NA	Female	5	Caucasian	NA	NA	NA	NA	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A04_542844	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs863.T	1	9	0.260395	0.003547	0.011293	0.044638	0.009512	0.670604	1e-05
237	-11.504129973806	-10.1456270237154	Hs 870.T	HS870T	_0966	NA	Bone	NA	Osteosarcoma	NA	Male	22	NA	NA	NA	NA	NA	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D02_490432	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs870.T	9	5	0.387684	0.28568	1e-05	0.054907	0.000109	0.213751	0.057859
238	19.7349731438377	-6.93176781938754	Hs 888.T	HS888T	_0979	NA	Bone	NA	Osteosarcoma	NA	Male	20	Caucasian	NA	NA	NA	NA	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H01_542876	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs888.T	24	2	0.573754	0.006919	0.016366	0.002607	0.077035	0.298813	0.024506
239	3.74404055771546	1.74483300925733	Hs 895.T	HS895T	_0993	NA	Skin	NA	Malignant melanoma	NA	Female	48	Caucasian	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G12_464662	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs895.T	1	9	0.299632	0.010152	1e-05	0.004925	0.000616	0.676975	0.007691
240	2.01711752958782	2.36439194375313	Hs 934.T	HS934T	_1031	NA	Skin	NA	Malignant melanoma	NA	Female	58	Caucasian	NA	NA	NA	NA	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F04_578402	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs934.T	1	9	0.289806	0.00079	0.008541	0.003631	1e-05	0.697212	1e-05
241	5.70322117158363	4.21571835027592	Hs 936.T	HS936T	_1033	NA	Skin	NA	Malignant melanoma	NA	Male	NA	NA	NA	NA	NA	NA	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F09_437436	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs936.T	1	9	0.343475	1e-05	1e-05	0.032074	0.006808	0.604435	0.013188
242	4.60274335620489	5.20673319965956	Hs 939.T	Hs939-T; HS939T	_1036	MSI-S	Skin	NA	Malignant melanoma	NA	Female	24	Caucasian	NA	NA	1298144	Y	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D10_437420	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs939.T	1	9	0.279516	1e-05	1e-05	0.029028	0.004979	0.682784	0.003674
243	3.0870375294445	13.1185439450226	Hs 940.T	Hs940-T; HS940T	_1038	MSI-S	Skin	NA	Malignant melanoma	NA	Male	57	Caucasian	NA	NA	1298145	Y	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E09_578364	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs940.T	1	9	0.267451	0.003106	1e-05	0.011066	1e-05	0.710431	0.007926
244	2.26369114306135	3.93476108143764	Hs 944.T	HS944T	_1040	NA	Skin	NA	Malignant melanoma	NA	Male	NA	NA	NA	NA	NA	NA	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A04_256008	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Hs944.T	1	9	0.313651	1e-05	1e-05	0.022242	1e-05	0.664066	1e-05
456	-21.0784114681349	1.95152600273172	HSC-2	HSC2	_1287	MSI-S	Upper aerodigestive tract	Head neck	Carcinoma	Squamous cell carcinoma	Male	69	NA	NA	Primary	753562	Y	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F11_437432	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HSC-2	2	12	0.000718	1e-05	0.147068	0.838019	0.013644	1e-05	0.000531
457	-22.7064867118065	4.57504916989336	HSC-3	HSC3	_1288	MSI-S	Upper aerodigestive tract	Mouth; Tongue	Carcinoma	Squamous cell carcinoma	Male	64	NA	NA	Primary	907061	Y	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_G02_437430	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HSC-3	2	12	0.017041	1e-05	0.120893	0.858799	1e-05	1e-05	0.003237
458	-19.9635862418198	2.6424750574676	HSC-4	HSC4	_1289	MSI-S	Upper aerodigestive tract	Mouth; Tongue	Carcinoma	Squamous cell carcinoma	Male	64	Japanese	NA	Primary	907062	Y	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_D02_592876	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HSC-4	2	12	0.001246	1e-05	0.137946	0.847435	0.013343	1e-05	1e-05
1330	-30.4180476260608	-0.823647718494067	HSC-39		_A385	MSI-S	Stomach	NA	Carcinoma	NA	Male	54	NA	NA	NA	1322224	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HSC-39	2	12	0.00465	1e-05	0.186659	0.786949	0.007201	0.010262	0.004269
459	0.873956391531017	3.65382105826154	HT		_1290	MSI-H	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	B cell lymphoma unspecified	Male	70	Caucasian	NA	Metastasis	907063	Y	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G09_410942	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT	1	9	0.304417	1e-05	0.003495	1e-05	0.009511	0.679287	0.00327
462	2.12322410289107	13.8912119283556	HT-3		_1293	MSI-S	Cervix	NA	Carcinoma	NA	Female	58	Caucasian	NA	Primary	907068	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT-3	1	9	0.377316	1e-05	1e-05	0.03335	0.015336	0.553531	0.020447
103	20.2382647699173	-6.54005078881708	HT-29	HT29	_0320	MSI-S	Large intestine	Colon	Carcinoma	NA	Female	44	Caucasian	NA	Primary	905939	Y	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B01_256026	Y	Y	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT-29	24	2	0.632372	0.010518	1e-05	0.03235	0.048007	0.261053	0.01569
463	10.682275633175	4.81002994863392	HT-55	HT55	_1294	MSI-S	Large intestine	Colon	Carcinoma	Adenocarcinoma	NA	NA	NA	NA	Primary	907287	Y	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E12_698606	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT-55	25	9	0.33831	1e-05	1e-05	0.024045	1e-05	0.619701	0.017915
102	3.4015908117734	12.5025267310049	HT-144	HT144	_0318	MSI-S	Skin	NA	Malignant melanoma	NA	Male	29	Caucasian	NA	Primary	907067	Y	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C10_437272	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT-144	1	9	0.25857	0.004934	1e-05	0.004676	1e-05	0.73179	1e-05
101	8.83374970918087	9.38934600957923	HT-1080	HT1080	_0317	MSI-S	Soft tissue	Fibrous tissue and uncertain origin	Fibrosarcoma	NA	Male	35	Caucasian	NA	Primary	907064	Y	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E05_437252	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT-1080	1	9	0.289427	0.00345	0.002858	0.01355	1e-05	0.68213	0.008574
460	2.75350017125891	-1.53294301378224	HT-1197	HT1197	_1291	MSI-S	Urinary tract	Bladder	Carcinoma	Transitional cell carcinoma	Male	44	Caucasian	S_IV	Primary	907065	Y	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D02_256076	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT-1197	1	9	0.317719	0.001248	1e-05	0.018601	1e-05	0.662402	1e-05
461	20.6028226222518	-6.66381235612334	HT-1376	HT1376	_1292	MSI-S	Urinary tract	Bladder	Carcinoma	Transitional cell carcinoma	Female	58	Caucasian	S_III	Primary	907066	Y	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E03_256102	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT-1376	24	2	0.586022	0.013991	0.010816	0.017757	0.090401	0.266187	0.014826
1045	3.2619798109433	2.00902732226108	HT115	HT-115	_2520	MSI-L	Large intestine	Colon	Carcinoma	NA	NA	NA	NA	NA	Primary	907289	Y	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G08_698736	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HT115	1	9	0.317316	0.000396	1e-05	0.012526	0.002073	0.665894	0.001785
464	-28.8018225764566	-2.72517470457374	HTC-C3		_1295	MSI-S	Thyroid	NA	Carcinoma	Anaplastic carcinoma	Female	44	Japanese	NA	Primary	924151	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HTC-C3	2	12	0.018777	0.002955	0.221113	0.741704	0.006546	0.001173	0.007732
1046	19.2227489916409	1.57015268434635	HTK-	HTK	_2522	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Plasma cell myeloma	Female	NA	NA	NA	NA	NA	NA	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B09_578378	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HTK-	14	2	0.59954	1e-05	0.051318	1e-05	0.349102	1e-05	1e-05
104	-24.3696588441694	7.85422447191866	HuCC-T1	HuCCT1; HUCCT1	_0324	MSI-S	Biliary tract	NA	Carcinoma	NA	Male	56	NA	NA	Primary	907069	Y	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B07_437528	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuCC-T1	2	12	0.105712	1e-05	1e-05	0.820049	1e-05	1e-05	0.074199
1216	-21.1806686081042	3.89351007516061	HuG1-N	HUG1N	_4846	NA	Stomach	NA	Carcinoma	NA	Male	55	Japanese	NA	NA	NA	NA	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C12_411034	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuG1-N	2	12	0.014283	0.00197	0.210993	0.755613	1e-05	1e-05	0.017121
1102	-21.2957856562309	2.60279626938271	HuH-1	huH-1; HUH1	_2956	MSI-S	Liver	NA	Carcinoma	Hepatocellular carcinoma	Male	53	Japanese	NA	NA	1298146	Y	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G09_437360	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuH-1	2	12	0.009172	0.008699	0.180977	0.800925	1e-05	1e-05	0.000208
1198	-18.1274854555917	9.03817192445331	HuH-6	HUH6	_4381	NA	Liver	NA	Other	Hepatoblastoma	Male	1	Japanese	NA	NA	NA	NA	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_D04_592756	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuH-6	2	12	1e-05	0.003023	0.179851	0.80924	1e-05	1e-05	0.007856
465	-18.1293884485477	9.0364363839718	HuH-6 Clone 5	HUH-6-clone5	_1296	MSI-S	Liver	NA	Carcinoma	Hepatocellular carcinoma	Male	1	Japanese	NA	NA	907070	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuH-6Clone5	2	12	0.034855	0.013642	0.165196	0.768546	1e-05	1e-05	0.017741
110	-21.6867157661807	6.80498172345302	HuH-7	HUH7	_0336	MSI-S	Liver	NA	Carcinoma	Hepatocellular carcinoma	Male	57	Japanese	NA	Primary	907071	Y	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_H12_437494	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuH-7	2	12	0.056883	1e-05	0.130774	0.796759	1e-05	1e-05	0.015554
1101	-22.9801923159319	6.12413267534747	HuH-28	HUH28	_2955	NA	Biliary tract	NA	Carcinoma	NA	Female	37	NA	NA	NA	NA	NA	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G06_592642	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuH-28	2	12	0.018571	1e-05	0.110113	0.840804	1e-05	1e-05	0.030482
1047	10.0799318825848	-2.95644667937212	HuNS1	HUNS1	_2526	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	B-lymphoblastoid	Male	NA	NA	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A02_464620	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuNS1	5	2	0.352386	0.012155	0.017121	1e-05	0.056383	0.561936	1e-05
466	-27.2951622548279	-2.60942099337769	HuO-3N1		_1297	MSI-S	Bone	NA	Osteosarcoma	NA	Female	15	NA	NA	Primary	909977	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuO-3N1	2	12	0.002412	1e-05	0.232787	0.720188	0.01727	0.011513	0.015819
467	-29.1917672538091	-3.19477933064966	HuO9		_1298	MSI-S	Bone	Femur	Osteosarcoma	NA	Female	13	Japanese	NA	Primary	907072	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuO9	2	12	0.038286	1e-05	0.137354	0.777662	1e-05	0.017805	0.028872
468	-21.692183782157	3.5288772801074	HuP-T3	HUPT3	_1299	MSI-S	Pancreas	NA	Carcinoma	Ductal carcinoma	Male	66	Japanese	NA	Metastasis	907285	Y	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G01_293424	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuP-T3	2	12	0.009468	1e-05	0.199216	0.781933	1e-05	1e-05	0.009353
469	-25.9007114763611	3.39068984471508	HuP-T4	HUPT4	_1300	MSI-S	Pancreas	NA	Carcinoma	Ductal carcinoma	Male	60	Japanese	NA	Metastasis	907286	Y	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B10_335230	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuP-T4	2	12	0.001326	0.003929	0.248179	0.746536	1e-05	1e-05	1e-05
111	6.16960416106298	17.9898096042004	HuT 78	HUT78	_0337	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Mycosis fungoides and Sezary syndrome	Male	53	Caucasian	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D04_464548	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuT78	1	9	0.280355	0.007611	1e-05	0.025592	0.003164	0.680056	0.003212
1172	19.4131806436601	-25.2091660349789	HuT 102	HUT102	_3526	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Mycosis fungoides and Sezary syndrome	Male	28	African	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D01_464554	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuT102	7	4	0.062477	0.002331	1e-05	0.019259	1e-05	0.067302	0.848611
470	19.1682294539014	-19.6382559359063	HuTu 80	HUTU-80; HUTU80	_1301	MSI-S	Small intestine	Duodenum	Carcinoma	Adenocarcinoma	Male	53	Caucasian	NA	Primary	907073	Y	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B01_437540	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	HuTu80	7	4	0.112244	1e-05	1e-05	0.029632	1e-05	0.084496	0.773598
